Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Incorrecta4,Incorrecta5
¿Qué estructuras pertenecen exclusivamente al mediastino dorsal izquierdo?,Ducto torácico y nervio cervical traqueal,Timo y nervio frénico,Arteria subclavia y ganglio cervical,Vena cava y conducto nasal,,
¿Qué vena se encuentra en el mediastino dorsal medio derecho?,Vena cava,Vena yugular,Vena subclavia,Vena renal,,
¿Qué estructuras respiratorias se encuentran en el mediastino dorsal medio derecho?,Venas pulmonares y tráquea,Bronquios y laringe,Pulmones y narinas,Senos frontales y bronquios,,
¿Qué estructura linfática se encuentra en el mediastino dorsal medio derecho?,Ducto torácico,Timo,Ganglio estrellado,Linfáticos linguales,,
¿Qué nervio aparece en ambos lados del mediastino dorsal medio?,Nervio frénico,Nervio hipogloso,Nervio olfatorio,Nervio accesorio,,
¿Qué órgano se encuentra en el mediastino ventral medio?,Corazón,Pulmón izquierdo,Esófago,Estómago,,
¿Qué estructura vascular está en el mediastino ventral medio?,Arteria y vena torácica interna,Vena ácigos,Arteria carótida,Arteria subclavia,,
¿Qué cubre al corazón en el mediastino ventral medio?,Pericardio,Pleura visceral,Cápsula serosa,Fascia parietal,,
¿Qué nervio está presente en el mediastino dorsal medio izquierdo?,Nervio vago,Nervio radial,Nervio trigémino,Nervio facial,,
¿Qué órgano digestivo está presente en el mediastino dorsal medio izquierdo?,Esófago,Estómago,Ciego,Duodeno,,
¿Qué cadena nerviosa aparece en el mediastino dorsal medio izquierdo?,Cadena ganglionar simpática,Plexo cervical,Tronco simpático lumbar,Ganglio mandibular,,
¿Qué vasos se encuentran en el mediastino ventral caudal?,Vena y arteria torácica interna,Vena yugular y arteria femoral,Vena renal y arteria esplénica,Vena pulmonar y arteria carótida,,
¿Qué nervio aparece tanto en el mediastino dorsal como en el ventral caudal?,Nervio frénico,Nervio trigémino,Nervio facial,Nervio óptico,,
¿Qué estructura digestiva se encuentra en el mediastino dorsal caudal?,Esófago,Estómago,Intestino delgado,Colon transverso,,
¿Qué vena aparece en el mediastino dorsal caudal derecho?,Vena ácigos,Vena cava craneal,Vena subclavia,Vena porta,,
¿Qué arteria está presente en ambos lados del mediastino dorsal caudal?,Aorta torácica,Aorta abdominal,Arteria renal,Arteria yugular,,
¿Qué conducto linfático está presente en el mediastino dorsal caudal derecho?,Ducto torácico,Ducto salival mayor,Ducto linfático cervical,Ducto tiroideo,,
¿Qué estructura nerviosa forma parte del mediastino dorsal caudal derecho?,Cadena ganglionar simpática,Nervio auditivo,Plexo braquial,Nervio lingual,,
¿Qué estructura pulmonar está en el mediastino dorsal caudal izquierdo?,Venas pulmonares,Bronquios segmentarios,Tráquea cervical,Pleura parietal,,
¿Qué nervio aparece en el mediastino ventral caudal junto con el frénico?,Nervio vago,Nervio esplácnico,Nervio radial,Nervio vestibular,,
¿Cuál es una aplicación clínica importante del estudio del mediastino?,Ubicación de órganos torácicos para diagnóstico,Evaluación de reflejos miotáticos,Exploración abdominal,Cirugía ocular,,
¿Desde dónde se extiende el abdomen en general?,Desde el diafragma hasta las alas del ilion,Desde el esófago hasta el cóccix,Desde el esternón hasta las patas,Desde la tráquea hasta las costillas,,
¿Qué límite craneal tiene la región del abdomen craneal (hipocondrio)?,Inserción diafragmática,Cartílago xifoideo,Punto medio del esternón,Línea alba,,
¿Qué plano limita caudalmente al abdomen craneal (hipocondrio)?,Plano que pasa por el borde más caudal de la éltima costilla,Plano que cruza el ombligo,Línea intercostal media,Plano que pasa por el cartílago nasal,,
¿Qué estructura limita ventralmente al hipocondrio?,Borde lateral del M. recto abdominal,Cartílago nasal,Línea alba,Costillas flotantes,,
¿Qué aplicación clínica se asocia al hipocondrio?,Palpación hepática,Reflejo pupilar,Evaluación mandibular,Auscultación auricular,,
¿Qué procedimiento se puede hacer en el hipocondrio?,Biopsia o punción,Electroencefalograma,Reflejo rotuliano,Análisis ótico,,
¿Qué estructura marca el límite craneal de la región xifoidea?,Cartílago xifoides,Cartílago costal,Esternón medio,Vértebra lumbar,,
¿Cuál es el límite dorsal de la región xifoidea?,Borde lateral del M. recto abdominal,Costillas caudales,Vena cava,Línea interescapular,,
¿Qué plano se comparte entre la región hipocondrio y la región xifoidea?,C. y SC. + Fascia superficial + M. oblicuo externo,Cápsula renal + hilio,Pleura costal + fascia torácica,M. cuadrado lumbar + esternón,,
¿Qué procedimientos se indican en la región xifoidea?,"Los mismos del hipocondrio: biopsia, palpación hepática, etc.",Análisis endoscópico nasal,Reflejos auriculares,Irrigación pulmonar,,
¿Qué otro nombre recibe la región del abdomen medio lateral?,Región del flanco o del ijar,Región costal caudal,Región renal,Región lumbar dorsal,,
¿Qué plano anatómico NO forma parte del flanco?,Cápsula renal externa,C y S.C.,M. oblicuo abdominal externo,Peritoneo parietal,,
¿Qué arteria irriga la región del ijar?,A. circunfleja ilíaca profunda,A. vertebral caudal,A. celíaca,A. facial,,
¿Qué procedimiento se realiza con frecuencia en la región del ijar?,Abdominocentesis,Auscultación nasal,Otoscopía,Venopunción yugular,,
¿Qué estructura es una referencia en la región umbilical?,Cicatriz umbilical,Trocánter mayor,Vértebra T7,Cartílago nasal,,
¿Cómo se diferencia el ijar del umbilical?,El umbilical es más central y su punto de unión es la cicatriz umbilical,El umbilical está dorsal al ijar,El umbilical se encuentra en la cadera,Ambos son sinónimos,,
¿Qué mésculo forma parte de la región umbilical?,M. transverso del abdomen,M. temporal,M. orbicular de los ojos,M. cricotiroideo,,
¿Qué tipo de plano se menciona en ambas regiones (ijar y umbilical)?,Aponeurosis,Cápsula sinovial,Cartílago elástico,Espacio pleural,,
¿Qué aplicación clínica se asocia con la región umbilical?,Palpación abdominal y laparotomía,Resección nasal,Estudio neurológico,Reflejo corneal,,
¿Qué plano se encuentra más superficial en ambas regiones?,C y S.C.,Fascia transversa,Peritoneo visceral,M. iliohipogástrico,,
¿Qué plano craneal delimita la región inguinal?,Plano que pasa por la tuberosidad coxal,Plano que pasa por el cartílago xifoides,Plano que pasa por la cresta ilíaca,Plano que pasa por la sínfisis pébica,,
¿Cuál es el límite caudal de la región inguinal?,Línea terminal,Línea intercostal,Línea transversa dorsal,Línea alba,,
¿Qué mésculo delimita ventralmente la región inguinal?,Borde lateral del M. recto del abdomen,M. esternohioideo,M. transverso superficial,M. braquiocefálico,,
¿Qué estructura se encuentra en la región inguinal que puede palparse?,Pulso,Tráquea,Cartílago nasal,Ganglio mandibular,,
¿Qué patología se puede corregir quirérgicamente en esta región?,Hernias inguinales,Fractura costal,Desgarro de ligamento cruzado,Neoplasia nasal,,
¿Qué procedimiento reproductivo se realiza en la región inguinal?,Castración,Epididimectomía,Ovariohisterectomía,Parto inducido,,
¿Qué vena irriga la región inguinal?,V. femoral,V. subclavia,V. porta,V. yugular,,
¿Qué plano profundo se encuentra en la región inguinal?,Peritoneo parietal,Cápsula renal,Pleura visceral,Aponeurosis temporal,,
¿Qué procedimiento ginecológico se realiza en esta región?,Cesárea,Biopsia mamaria,Citología vaginal,Amputación uterina,,
¿Qué nervio inerva esta región segén la imagen?,N. iliohipogástrico,N. femorocutáneo,N. perineal profundo,N. vago,,
¿Qué plano craneal delimita la región pébica?,Plano que pasa por la tuberosidad coxal,Plano que pasa por la cresta ilíaca,Plano que pasa por la sínfisis mandibular,Plano que pasa por el cartílago nasal,,
¿Qué línea marca el límite caudal de la región pébica?,Línea terminal,Línea intercostal,Línea alba,Línea transversa nasal,,
¿Qué mésculo forma parte del límite lateral de la región pébica?,Borde lateral del M. recto abdominal,M. temporal,M. digástrico,M. esternohioideo,,
¿Qué plano profundo está presente en la región pébica?,Peritoneo parietal,Pleura visceral,Duramadre,Fascia bucal,,
¿Qué glándula se menciona en la región pébica?,Glándula mamaria,Glándula suprarrenal,Glándula sublingual,Glándula pineal,,
¿Qué mésculo se encuentra en el plano profundo de la región pébica?,M. transverso abdominal,M. orbicular de los ojos,M. cricotiroideo,M. braquiocefálico,,
¿Qué arteria se menciona en el plano profundo de la región pébica?,A. epigástrica caudal,A. pulmonar derecha,A. ilíaca interna,A. mesentérica craneal,,
¿Cuál de los siguientes órganos NO se encuentra en el abdomen?,Pulmones,Hígado,Rií±ones,Intestino delgado,,
¿Qué órgano endocrino se localiza en el abdomen?,Glándulas adrenales,Hipotálamo,Timo,Tiroides,,
¿Qué sistema representa el páncreas dentro del abdomen?,Digestivo y endocrino,Respiratorio y muscular,Urinario y linfático,Reproductor y óseo,,
¿Cuál es el límite caudal de la pelvis?,Lo éltimo del hueso sacro,Tuberosidad del radio,Cartílago costal,Borde del hémero,,
¿Qué estructura se encuentra en la región escrotal?,Testículos,Vejiga,Uretra,Glándula prostática,,
¿Qué procedimiento clínico se realiza en la región escrotal en gatos?,Castraciones,Episiotomía,Esofagotomía,Auscultación abdominal,,
¿En qué animales es comén realizar biopsias escrotales?,En perros que no engordan,En vacas adultas,En gatos neonatos,En caballos viejos,,
¿Qué estructura cubre al pene en la región prepucial?,Ténica cutánea,Aponeurosis torácica,Cápsula renal,Mucosa lingual,,
¿Qué secreta el divertículo prepucial?,Esmegma,Cerumen,Moco intestinal,Sebáceo,,
¿Qué es la parafimosis?,Condición donde el pene no puede volver a retraerse,Ausencia de testículos,Obstrucción de la uretra,Inversión prepucial,,
¿Qué procedimiento ayuda a prevenir infecciones en la región prepucial?,Lavados prepuciales,Laringotomías,Castración bilateral,Esofagotomía,,
¿Cuál es el contenido clínico importante de la región sacra?,Aplicación de epidural,Biopsia hepática,Endoscopía nasal,Venopunción yugular,,
¿Qué estructuras contiene la cauda equina en la región sacra?,Muchos nervios en la membrana pélvica,Solo nervios craneales,Glándulas endocrinas,Cilios respiratorios,,
¿Qué plano anatómico profundo se encuentra en la región sacra?,Peritoneo parietal,Pleura parietal,Cápsula del cristalino,Mucosa gástrica,,
¿Qué indica la advertencia en los apuntes sobre el sacro?,NO DEJEN DE REVISAR SACRO,Eviten tocar el sacro,Solo en hembras se revisa,No tiene importancia clínica,,
¿Qué estructura limita la pelvis cranealmente?,Línea terminal,Línea media abdominal,Línea iliofemoral,Línea alba,,
¿Cuál de estas regiones NO tiene límites exactos?,Región escrotal,Región sacra,Región prepucial,Región pébica,,
¿Qué órgano está ausente en la región prepucial?,Testículos,Glándulas prepuciales,Divertículo prepucial,Esmegma,,
¿Qué función tienen las glándulas prepuciales?,Producen secreciones para lubricación,Forman la uretra,Controlan la presión arterial,Activan el sistema linfático,,
¿Qué nervios deben evitarse en lesiones de región sacra?,Nervios de la cauda equina,Nervios craneales,Nervios ópticos,Nervios intercostales,,
¿Cuál es un uso clínico comén de la región sacra en medicina veterinaria?,Anestesia epidural,Auscultación pulmonar,Palpación del estómago,Reflejo pupilar,,
¿Qué se evaléa en la región sacra en casos neurológicos?,Lesiones de cauda equina,Ruidos intestinales,Función pancreática,Capacidad olfatoria,,
¿Qué se debe hacer si el pene no puede volver a retraerse?,Corregir la parafimosis,Realizar laparotomía,Aplicar esmegma,Deshidratar el prepucio,,
¿Qué estructura anatómica puede dificultar la corrección de la parafimosis?,Apertura del prepucio muy cerrada,Inflamación testicular,Obstrucción vesical,Cierre de uretra,,
¿Qué se debe considerar en machos con secreción prepucial excesiva?,Limpieza con lavados,Lobectomía,Resección lingual,Extirpación nasal,,
¿Qué indica la glándula mamaria en machos en la región pébica?,Es parte del plano anatómico,Indica feminización,Debe extirparse,No se considera estructura anatómica,,
¿Qué intervención puede realizarse bajo el peritoneo en la pelvis?,Cirugías abdominales caudales,Reflejo corneal,Amputación de cola,Drenaje bronquial,,
¿Qué mésculo está implicado en la región prepucial segén los planos?,M. oblicuo abdominal externo,M. masetero,M. orbicular del ojo,M. digástrico,,
¿Qué estructura anatómica marca el límite proximal de la región escapular?,Borde dorsal de la escápula,Borde caudal del hémero,Articulación del carpo,Tuberosidad del radio,,
¿Cuál es el límite distal de la región escapular?,Articulación escápulo-humeral,Codo,Articulación carpo-metacarpo,Cabeza del hémero,,
¿Qué arteria irriga directamente la región escapular?,Arteria circunfleja humeral caudal,Arteria mesentérica craneal,Arteria sublingual,Arteria vertebral,,
¿Qué arteria nace de la circunfleja humeral caudal?,Arteria circunfleja humeral craneal,Arteria torácica externa,Arteria facial,Arteria temporal superficial,,
¿Qué plexo nervioso inerva la región escapular?,Plexo braquial,Plexo sacro,Plexo cervical,Plexo intercostal,,
¿Qué mésculo aparece como plano anatómico en esta región?,M. subescapular,M. cricotiroideo,M. orbicular del ojo,M. oblicuo abdominal interno,,
¿Qué procedimiento se realiza en gatos gracias a los sarcomas?,Aplicación de vacunas subcutáneas en la región escapular,Desparasitación intravenosa,Biopsia de la lengua,Drenaje nasal,,
¿Qué mésculo profundo se encuentra en esta región?,M. infraespinoso,M. braquiocefálico,M. cuadrado lumbar,M. extensor radial del carpo,,
¿Qué mésculo de la región escapular es extensor del hombro?,M. supraespinoso,M. masetero,M. transverso del abdomen,M. intercostal externo,,
¿Qué mésculo contribuye al movimiento de aducción del brazo?,M. subescapular,M. sartorio,M. geniogloso,M. temporal,,
¿Qué arteria pasa cerca de la articulación escápulo-humeral?,A. subescapular,A. pulmonar,A. carótida externa,A. renal,,
¿Qué ganglio linfático se palpa en esta región?,Linfónodo prescapular,Linfónodo mandibular,Linfónodo poplíteo,Linfónodo inguinal,,
¿Qué procedimiento diagnóstico se menciona como étil en esta región?,Rayos X,Ecografía vaginal,Colonoscopía,Electrocardiograma,,
¿Qué borde delimita esta región caudalmente?,Borde caudal de la escápula,Borde caudal del esternón,Borde caudal del cébito,Borde caudal del íleon,,
¿Qué arteria se ramifica como arteria torácica externa?,Arteria axilar,Arteria pulmonar,Arteria renal,Arteria ilíaca interna,,
¿Qué mésculo forma parte del plano superficial?,M. trapecio cervical,M. transverso torácico,M. esternohioideo,M. oblicuo mayor del abdomen,,
¿Qué nervio del plexo braquial inerva el M. supraespinoso?,N. supraescapular,N. mediano,N. obturador,N. peroneo comén,,
¿Qué acción produce el M. infraespinoso?,Abducción del hombro,Flexión del carpo,Rotación interna del fémur,Extensión de la falange distal,,
¿Qué plano profundo envuelve al plexo braquial?,Fascia axilar,Peritoneo parietal,Pleura mediastínica,Fascia caudal,,
¿Qué otro mésculo se encuentra junto al subescapular?,M. redondo mayor,M. digástrico,M. buccinador,M. recto femoral,,
¿Cuál es el límite proximal de la región escápulo-humeral?,Cavidad glenoidea de la escápula,Cabeza del fémur,Tuberosidad del radio,Cresta del íleon,,
¿Cuál es el límite distal de la región escápulo-humeral?,Cabeza del hémero,Troclea del cébito,Cabeza del radio,Falange distal,,
¿Qué aplicación clínica se menciona para la región escápulo-humeral?,Punto de amputación del MT,Biopsia de lengua,Vacunación subcutánea,Auscultación pulmonar,,
¿Cuál es el límite distal de la región del hémero?,Articulación hémero-radio-ulnar,Articulación carpiana,Articulación coxofemoral,Articulación atlantooccipital,,
¿Qué mésculos se encuentran en el plano anatómico de la región humeral?,"Deltoides, tríceps, bíceps, braquial","Gléteo, sartorio, pectíneo","Masetero, milohioideo, digástrico","Oblicuo externo, transverso, cuadrado lumbar",,
¿Qué arteria irriga directamente el hémero?,Arteria circunfleja humeral caudal,Arteria facial,Arteria pulmonar,Arteria renal,,
¿De qué arteria nace la circunfleja humeral craneal?,De la circunfleja humeral caudal,De la aorta abdominal,De la mesentérica craneal,De la carótida externa,,
¿Qué arteria se desprende de la arteria axilar?,Arteria torácica externa,Arteria radial profunda,Arteria coronaria izquierda,Arteria gástrica derecha,,
¿Qué nervio inerva el M. tríceps?,Nervio radial,Nervio facial,Nervio iliohipogástrico,Nervio obturador,,
¿Qué nervio se encuentra entre los mésculos braquial y bíceps?,Nervio musculocutáneo,Nervio auriculotemporal,Nervio peroneo superficial,Nervio infraorbitario,,
¿Qué técnica diagnóstica se menciona para ambas regiones?,Rayos X,Laparoscopía,Rinoscopía,Tomografía renal,,
¿Qué procedimiento terapéutico se menciona en ambas regiones?,Fisioterapia,Quimioterapia,Anestesia epidural,Auscultación rectal,,
¿Qué nervio da una rama hacia la cara distal del M. musculocutáneo?,N. musculocutáneo,N. vago,N. accesorio,N. troclear,,
¿Qué tipo de vendajes se aplican en caso de fractura del hémero?,Vendajes de inmovilización del MT,Vendajes torácicos,Vendajes de la lengua,Vendajes craneales,,
¿Qué tipo de cirugía se menciona en región del hémero?,Cirugías ortopédicas,Lobectomías,Cistectomías,Prostatectomías,,
¿Qué nervio acompaí±a a la arteria circunfleja humeral caudal?,N. radial,N. perineal,N. pélvico,N. hipogloso,,
¿Qué nervio se considera importante para la extensión del codo?,N. radial,N. mediano,N. ulnar,N. femoral,,
¿Qué arteria no pertenece a esta región?,Arteria ilíaca externa,Arteria subescapular,Arteria circunfleja humeral caudal,Arteria torácica externa,,
¿Qué mésculo no forma parte del plano anatómico del hémero?,M. aductor largo,M. tríceps braquial,M. deltoides,M. ancóneo,,
¿Qué nervio acompaí±a a la arteria subescapular?,N. toracodorsal,N. óptico,N. lingual,N. perineal caudal,,
¿Cuál es el límite proximal de la región hémero-radio-ulnar?,Cóndilos del hémero,Tuberosidad del radio,Cavidad glenoidea,Articulación carpo-metacarpo,,
¿Qué estructura marca el límite distal de la región hémero-radio-ulnar?,Cabeza del radio e incisura troclear de la ulna,Epífisis distal del fémur,Cresta ilíaca,Escápula caudal,,
¿Qué examen clínico se menciona en esta región?,Rayos X,Colonoscopía,Rinoscopía,Endoscopía bronquial,,
¿Qué procedimiento se menciona junto con cirugías en la región articular hémero-radio-ulna?,Amputación del MT,Laringotomía,Esplenectomía,Castración bilateral,,
¿Qué mésculos forman parte del plano anatómico del radio y ulna?,"Pronadores, flexores y extensores del carpo y dedos","Cuádriceps, pectíneo y sartorio","Masetero, digástrico y milohioideo",Oblicuo externo y transverso abdominal,,
¿Cuál es el límite distal de la región del radio y la ulna?,"Epífisis distal del radio y ulna, procesos estiloides lat. y med.",Cabeza del hémero,Falanges proximales,Cabeza del fémur,,
¿Qué arteria irriga directamente la región del radio?,Arteria mediana,Arteria iliaca externa,Arteria femoral profunda,Arteria lingual,,
¿Qué arteria da origen a la arteria radial craneal?,Arteria mediana,Arteria axilar,Arteria pulmonar,Arteria mesentérica,,
¿Qué nervio principal inerva la región del radio y ulna?,Nervio radial,Nervio facial,Nervio hipogloso,Nervio vago,,
¿Qué función tiene la rama superficial del nervio radial?,Inervación sensitiva,Movilización ocular,Control pupilar,Contracción del diafragma,,
¿Qué aplicación clínica se menciona en venas del antebrazo?,Toma de muestra en vena cefálica,Aspirado pleural,Biopsia hepática,Cateterización uretral,,
¿Qué procedimiento terapéutico se menciona junto con vendajes?,Inmovilización,Compresión abdominal,Aspiración traqueal,Drenaje diafragmático,,
¿Qué arteria acompaí±a a la vena radial en el antebrazo?,Arteria radial,Arteria pulmonar,Arteria gástrica,Arteria esplénica,,
¿Qué arteria forma parte del sistema en perros y equinos?,Arteria mediana,Arteria costal dorsal,Arteria renal,Arteria temporal,,
¿Qué función tiene la rama profunda del nervio radial?,Inerva mésculos extensores,Control de la micción,Producción de esmegma,Regulación de glucosa,,
¿Qué aplicación clínica permite inmovilizar antebrazo tras cirugía ortopédica?,Vendaje,Anestesia local mandibular,Oxigenación nasal,Amputación torácica,,
¿Qué arteria se bifurca en arteria radial craneal y caudal?,Arteria mediana,Arteria renal,Arteria braquiocefálica,Arteria carótida externa,,
¿Qué arteria NO corresponde a la región del radio y ulna?,Arteria tibial craneal,Arteria mediana,Arteria radial craneal,Arteria radial caudal,,
¿Qué se indica como sitio de vacunación subcutánea en gatos?,Región del radio y ulna,Región coxal,Región del sacro,Región pectoral,,
¿Qué función cumple el nervio radial en la región distal del miembro torácico?,Extensión de carpo y dedos,Flexión de fémur,Rotación interna del muslo,Supinación de mandíbula,,
